image,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49
微信图片_20251122072108_18_1274.jpg,-9.598476,-15.2373295,13.784263,4.890043,-1.8505212,-5.376969,7.0844207,2.7770321,3.085023,0.67579,2.2826102,-0.86492217,-1.6217415,-0.07765176,0.3274105,3.5632472,1.1518962,-2.5539863,5.491069,1.8740078,-0.03327077,1.5945547,-1.9650037,4.493987,1.5028747,6.5405917,-3.6021743,2.0995889,-0.69342786,0.47559577,0.080873646,-0.91831267,4.1095524,-1.9037831,1.0530161,2.6168213,-1.9275607,2.498729,2.3716803,3.3104112,0.33850333,2.5385025,3.7938914,-5.1187487,3.386351,1.5612985,4.4032426,3.4984663,-5.026841,0.7527833
微信图片_20251122072110_19_1274.jpg,-11.952129,-11.38775,11.597743,1.7727051,-4.7260604,-1.9060004,3.1711009,-1.707419,1.1173415,-0.36379382,0.07195949,-0.5416692,0.58892924,-1.003879,-0.60107356,-0.31363177,2.018433,-0.95156014,2.3712993,1.2079763,0.08598789,1.4705809,-2.9307249,1.7687722,1.8074224,1.5541531,-1.9370517,-1.3659312,-1.0698497,0.06505595,1.182478,1.0256371,0.8955415,-0.054550726,1.4052231,1.3186377,-1.3135237,-0.04943292,-0.82076037,2.8144622,-0.008243305,-1.29486,0.1157163,0.28243977,-0.96861565,1.3215741,-0.25869825,-1.0738542,-3.2686455,-1.1262333
微信图片_20251122072112_20_1274.jpg,-5.2896323,-7.029964,13.876064,2.6872358,3.2576349,1.9544184,1.3864933,3.8706555,2.1114333,-2.4584086,0.029464755,2.4466512,6.581567,-0.9975289,1.1837323,-6.2369447,-1.9562786,-3.781725,0.88882744,0.61095166,-1.1249268,2.362989,-0.8241628,-3.3750277,-1.099643,0.31976795,5.4485283,-1.3651371,8.063566,0.584655,-1.7268534,-4.3371725,-2.8914647,-1.1358277,-1.0942208,-1.5257629,0.42630076,-1.1259905,-1.2850845,-1.2207997,-0.11561579,6.5155406,4.5434384,11.8161745,1.4117726,10.561342,5.113295,-6.122006,5.7692556,-1.654928
微信图片_20251122072113_21_1274.jpg,-8.472558,-5.0993843,15.271711,5.5877995,1.2113929,-4.18009,1.0673103,-2.5702236,0.66155636,0.64320475,-0.8481224,5.46541,0.8431289,0.20785967,2.3796933,-2.308614,1.7453995,3.8514504,2.1589346,-0.8112815,0.22902763,2.947379,4.3334675,5.615593,-2.0287662,1.7175142,-0.83905,1.8249089,0.2677734,-1.5084693,-0.3541402,-0.37554193,0.26509726,1.1906937,4.9591875,2.7973242,-2.6983309,-3.514351,-1.1426287,-5.3987303,-0.9425228,-0.9290814,-4.0514836,-0.7426509,3.2791874,-6.2535925,-1.7057352,4.7248263,7.1883125,0.6587576
微信图片_20251122072115_22_1274.jpg,-10.422332,-9.559395,12.321237,3.9290118,-2.786806,-3.6547592,2.624307,-5.7563148,3.2905297,0.9017076,2.3166525,1.7293632,-0.09917992,-1.0336214,-2.2203655,-1.4344335,4.9046793,-1.6403441,3.5508995,-0.43352768,0.37936282,1.498549,0.8509566,3.2281592,3.0638626,-1.1838846,-2.6759043,-2.7307243,-0.37374252,-2.751297,1.8651037,1.4848189,0.6785022,1.4931198,1.0689223,1.5930678,-2.7449095,-1.6016927,-1.9042554,-2.3370986,-0.89097023,-3.2914891,-8.078634,2.883637,1.8399963,-6.098831,-5.303769,0.2027941,3.423347,-6.2097135
微信图片_20251122072117_23_1274.jpg,-10.097539,-11.223191,16.20538,3.521458,-4.2753963,-1.6775223,2.4452357,-3.4323518,3.4074953,-0.12112295,2.537205,0.6153352,2.666457,-3.224186,1.3352132,-2.3245838,4.3606467,-2.4922228,4.650285,2.4889143,1.3330013,1.496614,-1.5163863,2.6507266,0.5695312,-1.7983465,-2.6922908,-4.364057,0.69336396,-0.28272966,-2.0397277,-2.2285483,0.061105434,3.0293896,2.1531024,1.6610308,-2.5465496,-3.1207464,-5.0021195,-1.8504596,-0.028757552,-2.2538743,-3.3306887,3.3434334,1.8568994,-5.7024527,-4.9227147,-2.9948905,2.8873975,-1.921892
微信图片_20251122072119_24_1274.jpg,-7.974472,-11.024918,11.068813,4.628443,7.540406,-1.3780391,2.7446363,-4.8529325,-2.8899736,-0.38353413,-0.26772794,-3.3688872,-2.7725763,6.7298636,-0.57758605,3.9384322,1.5510569,0.7866155,-1.4320378,3.3720698,0.105012596,-9.15232,1.396224,-4.0062404,2.3421504,-0.6520407,2.459272,-7.9105773,-9.604319,-12.214951,9.092586,-0.033770736,0.9305969,8.372377,-4.690407,-3.4171357,8.459082,-10.622213,2.0428147,2.8312764,-1.4969774,19.867914,3.4720192,-4.808439,-0.53651106,-3.8709135,0.0867396,-6.1208777,-1.3714837,-7.503102
微信图片_20251122072120_25_1274.jpg,-7.7395086,-13.623884,18.60101,6.006109,9.499035,-3.8441823,5.151886,3.1060083,0.31678063,-2.6542249,-3.9235148,1.2938018,-6.481411,11.691233,9.7988405,4.574645,-8.811635,10.027734,-13.867569,-4.858402,4.177653,-9.683325,10.054996,-9.675159,-5.672746,-5.769553,-4.391722,4.9071717,-0.9993606,-0.21590415,-2.915924,3.0556018,0.14983718,-1.1509087,-5.501323,3.0034554,-2.297108,3.5116742,-1.2712675,0.056764208,0.49417827,-2.0674295,0.5151279,-0.2418238,-1.7141153,-0.84571517,-1.8589357,-3.6289103,3.6715574,-1.1197159
微信图片_20251122072121_26_1274.jpg,-7.846118,-12.993824,16.61062,3.685921,9.566927,-3.0773547,4.0643454,5.3526697,1.6508509,-6.219261,-3.9436116,-1.1223013,-5.8106894,10.051055,9.070665,4.2856026,-7.225895,8.421587,-12.5391865,-5.086107,4.12938,-7.461861,7.1772747,-6.8210573,-4.356073,-4.2222695,-5.6559334,5.769839,0.10119434,0.82768166,-4.6422353,3.111477,1.5110054,-3.5491827,-3.4249637,4.892167,-3.786856,2.0075207,-0.64371794,-0.77477425,2.831106,-5.0420766,0.36451918,1.2338707,-0.4660353,2.4658833,-0.72442454,1.8049228,-2.0690384,-2.6194928
微信图片_20251122072122_27_1274.jpg,-5.1888065,1.6387719,-5.4765515,-4.413416,-5.7163515,1.1589288,-5.6741986,2.8311086,-0.49026623,-1.1831055,-1.9796472,0.84319246,-3.0448978,2.1183968,-1.7922188,2.8094192,-3.9578633,0.1976178,-1.721372,-0.9578043,-3.915467,-0.27035657,2.606527,3.6074898,1.1926306,-2.0899718,-0.9395962,-2.2449465,-1.8459768,3.245576,2.3316166,0.67608494,-2.992771,0.09175959,-0.0027100989,-0.016191555,1.6924186,0.41205227,-1.0395566,-0.9768202,-1.6729393,-0.10944549,-0.1358884,1.5130533,3.140282,-1.7063895,-0.5403579,-2.4150472,-1.3978207,2.0399525
